100000,สินทรัพย์,สินทรัพย์ ประกอบด้วยเลขอ้างอิงที่ 2 ถึง 41
100100,เงินสดและรายการเทียบเท่าเงินสด,"หมายถึง รายการดังต่อไปนี้
1. เงินสด หมายถึง รายการดังต่อไปนี้
1.1 ธนบัตรและเหรียญกษาปณ์ที่บริษัทหลักทรัพย์มี รวมทั้งเงินสด ธนาณัติ ตั๋วแลกเงินไปรษณีย์ เช็คที่ถึงกำหนดแต่ยังมิได้นำฝาก เช็คเดินทาง ดราฟต์ของธนาคาร
1.2 เงินฝากธนาคารกระแสรายวันและออมทรัพย์ และเงินฝากประจำและบัตรเงินฝากที่มีอายุไม่เกิน 3 เดือนนับจากวันที่ได้มา แต่ไม่รวมเงินฝากที่มีภาระผูกพัน

2. รายการเทียบเท่าเงินสด หมายถึง เงินลงทุนระยะสั้นที่มีสภาพคล่องสูง ซึ่งพร้อมจะเปลี่ยนเป็นเงินสดในจำนวนที่ทราบได้และมีความเสี่ยงที่ไม่มีนัยสำคัญต่อการเปลี่ยนแปลงในมูลค่า ซึ่งส่วนใหญ่เป็นตั๋วเงินหรือตั๋วสัญญาใช้เงินที่สถาบันการเงินเป็นผู้ออก รับรองหรืออาวัล โดยบริษัทหลักทรัพย์มีวัตถุประสงค์ในการถือไว้เพื่อจ่ายชำระภาระผูกพันระยะสั้น มากกว่าเพื่อลงทุนหรือเพื่อวัตถุประสงค์อื่น เช่น ตั๋วเงินประเภทเผื่อเรียก ตั๋วเงินที่มีอายุภายใน 3 เดือน หรือน้อยกว่านับจากวันที่ได้มา เป็นต้น"
100700,หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,หมายถึง การให้กู้ยืมเงินโดยมีข้อตกลงที่จะรับโอนสินทรัพย์ทางการเงินจากอีกฝ่ายหนึ่งโดยการแลกเปลี่ยนกับเงินสดหรือสิ่งตอบแทนอื่นของบริษัทหลักทรัพย์ ในขณะเดียวกับที่ก่อให้เกิดภาระผูกพันที่จะขายสินทรัพย์ทางการเงินนั้นคืนในอนาคตด้วยจำนวนที่เท่ากับเงินสดหรือสิ่งตอบแทนอื่นที่ได้มอบให้ไว้บวกดอกเบี้ยหรือผลตอบแทนอื่นที่คล้ายคลึงกัน
100900,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,"หมายถึง ยอดรวมของยอดดุลสุทธิ ดังต่อไปนี้
1. ยอดดุลสุทธิลูกหนี้สำนักหักบัญชี ที่เกิดจากการชำระราคาซื้อขายหลักทรัพย์รายวันเฉพาะส่วนที่สำนักหักบัญชีมียอดสุทธิเป็นลูกหนี้และยังค้างชำระกับบริษัทหลักทรัพย์ รวมถึงเงินที่บริษัทหลักทรัพย์นำไปวางเป็นประกันกับสำนักหักบัญชี ในการทำธุรกรรมหลักทรัพย์
2. ยอดดุลสุทธิลูกหนี้สำนักหักบัญชี ที่เกิดจากการชำระราคาซื้อขายสัญญาซื้อขายล่วงหน้าผ่านสำนักหักบัญชี รวมถึงเงินที่บริษัทหลักทรัพย์นำไปวางเป็นประกันกับสำนักหักบัญชี ในการทำธุรกรรมอนุพันธ์
3. ยอดดุลสุทธิลูกหนี้บริษัทหลักทรัพย์ต่างประเทศที่เกิดจากการชำระราคาซื้อขายหลักทรัพย์หรือซื้อขายสัญญาซื้อขายล่วงหน้าในต่างประเทศผ่านบริษัทหลักทรัพย์ต่างประเทศ รวมถึงเงินที่บริษัทหลักทรัพย์นำไปวางไว้กับบริษัทหลักทรัพย์ต่างประเทศเพื่อเป็นหลักประกันการซื้อขายหรือรอการชำระราคาในต่างประเทศ
4. ยอดดุลสุทธิลูกหนี้บริษัทหลักทรัพย์ในประเทศที่เกิดจากการชำระราคาซื้อขายหลักทรัพย์หรือซื้อขายสัญญาซื้อขายล่วงหน้าในประเทศผ่านบริษัทหลักทรัพย์ในประเทศ รวมถึงเงินที่บริษัทหลักทรัพย์นำไปวางไว้กับบริษัทหลักทรัพย์ในประเทศเพื่อเป็นหลักประกันการซื้อขายหรือรอการชำระราคาในประเทศ"
101000,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,"หมายถึง ยอดรวมของยอดดุลสุทธิ ดังต่อไปนี้
1. ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า หมายถึง ยอดดุลสุทธิลูกหนี้ธุรกิจหลักทรัพย์ และลูกหนี้ธุรกิจสัญญาซื้อขายล่วงหน้า บวกกับดอกเบี้ยค้างรับและรายได้ดอกเบี้ยที่ยังไม่ถึงกำหนดชำระตามสัญญาที่คำนวณตามวิธีอัตราดอกเบี้ยที่แท้จริง (Effective interest rate) หลังหักค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น (Allowance for expected credit loss) ทั้งนี้ ลูกหนี้ธุรกิจหลักทรัพย์ให้รวมถึงลูกหนี้ลูกค้าที่ซื้อขายหลักทรัพย์ด้วยเงินสด ลูกหนี้เงินให้กู้ยืมเพื่อซื้อหลักทรัพย์โดยใช้หลักทรัพย์ที่ซื้อนั้นมาวางเป็นประกัน อันได้แก่ เงินที่นำไปวางเป็นประกันกับเจ้าหนี้หุ้นยืมหรือกับสำนักหักบัญชี ลูกหนี้จากธุรกรรมยืมและให้ยืมหลักทรัพย์ ทั้งนี้ให้รวมถึงลูกหนี้ที่เกี่ยวข้องกับการประกอบธุรกิจหลักทรัพย์และธุรกิจซื้อขายสัญญาซื้อขายล่วงหน้าอื่น 

2. ค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น หมายถึง จำนวนเงินที่กันไว้สำหรับส่วนที่คาดว่าจะไม่ได้รับจากลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้าที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย รวมทั้งภาระผูกพันที่จะให้สินเชื่อและสัญญาค้ำประกันทางการเงิน ซึ่งประกอบด้วยส่วนที่คาดว่าจะไม่ได้รับใน 12 เดือนข้างหน้า (12-month expected credit loss) และส่วนที่คาดว่าจะไม่ได้รับตลอดอายุของเครื่องมือทางการเงิน (Lifetime expected credit loss) ตามที่กำหนดในมาตรฐานรายงานทางการเงินที่เกี่ยวข้อง"
102200,ลูกหนี้ตามสัญญาเช่า - สุทธิ,หมายถึง ลูกหนี้ที่เกิดจากสัญญาเช่าซึ่งจะถึงกำหนดชำระ และบริษัทหลักทรัพย์คาดว่าจะได้รับชำระ สุทธิจากค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น
101100,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,หมายถึง รายได้ค่าธรรมเนียมที่เกี่ยวข้องกับธุรกิจจัดการลงทุน ที่ได้รับรู้เป็นรายได้แล้ว แต่ยังไม่ได้รับชำระเงิน เช่น ค่าธรรมเนียมการจัดการค้างรับ ค่าธรรมเนียมนายทะเบียนค้างรับ เป็นต้น
102040,ลูกหนี้การค้า,หมายถึง สิทธิของบริษัทหลักทรัพย์โดยปราศจากเงื่อนไขที่มีต่อสิ่งตอบแทน ยกเว้นเงื่อนไขการจ่ายชำระสิ่งตอบแทนที่เป็นไปตามกำหนดเวลาที่ผ่านไป เช่น เงินที่ลูกค้าค้างชำระค่าสินค้าหรือค่าบริการที่บริษัทหลักทรัพย์ได้ส่งมอบสินค้าหรือให้บริการเสร็จสิ้นแล้ว เหลือเพียงแต่ระยะเวลาการจ่ายชำระตามกำหนดเวลาสินเชื่อ (Credit term) เท่านั้น รวมทั้งลูกหนี้ตามตั๋วเงินรับอันเกิดจากค่าสินค้าหรือบริการดังกล่าว
103000,สินทรัพย์อนุพันธ์,"หมายถึง สินทรัพย์อนุพันธ์ ซึ่งบริษัทหลักทรัพย์มีสิทธิตามสัญญาที่จะได้รับเงินสดหรือสินทรัพย์ทางการเงินอื่นจากกิจการอื่น หรือสิทธิตามสัญญาที่จะแลกเปลี่ยนเครื่องมือทางการเงินของบริษัทหลักทรัพย์กับเครื่องมือทางการเงินของกิจการอื่นภายใต้เงื่อนไขที่จะเป็นประโยชน์ต่อบริษัทหลักทรัพย์

สินทรัพย์อนุพันธ์ ประกอบด้วยรายการดังต่อไปนี้
1. อนุพันธ์เพื่อค้า หมายถึง อนุพันธ์ที่ถือไว้โดยไม่ได้มีวัตถุประสงค์เพื่อใช้ในการป้องกันความเสี่ยง ซึ่งรวมถึงการทำสัญญาอนุพันธ์กับลูกค้า และอนุพันธ์แฝงที่แยกออกจากสัญญาหลักได้ โดยอนุพันธ์เพื่อค้า มีลักษณะทุกข้อต่อไปนี้
1.1 มูลค่าของตราสารดังกล่าวจะผันแปรได้ตามอัตราดอกเบี้ย ราคาของตราสารการเงิน ราคาสินค้าโภคภัณฑ์ อัตราแลกเปลี่ยน ดัชนีราคาหรือดัชนีอัตรา หรือตัวแปรอื่นใด
1.2 ไม่มีการจ่ายเงินลงทุนสุทธิเมื่อเริ่มแรก หรือจ่ายด้วยจำนวนเพียงเล็กน้อยเมื่อเทียบกับสัญญาประเภทอื่น ซึ่งมีการตอบสนองในลักษณะเดียวกันกับปัจจัยตลาด และ
1.3 การรับหรือการจ่ายชำระที่จะกระทำในอนาคต

2. อนุพันธ์เพื่อการป้องกันความเสี่ยง หมายถึง อนุพันธ์ที่ถือไว้โดยมีวัตถุประสงค์เพื่อใช้ในการป้องกันความเสี่ยง และบริษัทเลือกปฏิบัติตามวิธีการบัญชีป้องกันความเสี่ยง (ตามที่กำหนดไว้ในมาตรฐานการรายงานทางการเงิน ฉบับที่ 9 เรื่อง เครื่องมือทางการเงิน)"
101660,เงินลงทุนที่ไม่ได้วางเป็นประกัน,"หมายถึง  เงินลงทุนที่บริษัทหลักทรัพย์ไม่ได้นำไปวางเป็นประกันสำหรับหนี้สินหรือหนี้สินที่อาจเกิดขึ้น โดยแสดงมูลค่าสุทธิหลังจากบวกหรือหักการปรับมูลค่ายุติธรรม และ/หรือ ค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้นของเงินลงทุน

เงินลงทุนที่ไม่ได้วางเป็นประกัน ประกอบด้วยรายการดังต่อไปนี้
1. เงินลงทุนตามวิธีมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน หมายถึง เงินลงทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนตามที่กำหนดในมาตรฐานการรายงานทางการเงินที่เกี่ยวข้อง ได้แก่ รายการดังต่อไปนี้
1.1 เงินลงทุนเพื่อค้า หมายถึง เงินลงทุนที่ได้มาโดยมีวัตถุประสงค์หลักเพื่อขายในอนาคตอันใกล้ หรือเงินลงทุนที่ถูกกำหนดให้เป็นส่วนหนึ่งของกลุ่มเครื่องมือทางการเงินซึ่งถูกบริหารเป็นกลุ่ม ณ วันที่รับรู้รายการเริ่มแรกและมีหลักฐานที่แสดงถึงรูปแบบของการทำกำไรระยะสั้นที่เกิดขึ้นจริงในปัจจุบันตามที่กำหนดในมาตรฐานการรายงานทางการเงินที่เกี่ยวข้อง
1.2 เงินลงทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรม หมายถึง เงินลงทุนที่บริษัทหลักทรัพย์กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน เนื่องจากช่วยขจัดหรือลดความไม่สอดคล้องอย่างมีนัยสำคัญในการวัดมูลค่าหรือการรับรู้รายการ (Accounting mismatch) ซึ่งอาจเกิดขึ้นจากการวัดมูลค่าสินทรัพย์หรือหนี้สิน หรือการรับรู้กำไรและขาดทุนจากรายการดังกล่าวด้วยเกณฑ์แตกต่างกันตามที่กำหนดในมาตรฐานการรายงานทางการเงินที่เกี่ยวข้อง
1.3 เงินลงทุนตามวิธีมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน หมายถึง เงินลงทุนในตราสารหนี้และตราสารทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนตามที่กำหนดในมาตรฐานการรายงานทางการเงินที่เกี่ยวข้อง ทั้งนี้ ไม่รวมถึงเงินลงทุนที่กำหนดไว้ในรายการ เงินลงทุนเพื่อค้า และเงินลงทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรม

2. เงินลงทุนตามวิธีมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น หมายถึง เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น และเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น ตามที่กำหนดในมาตรฐานการรายงานทางการเงินที่เกี่ยวข้อง

3. เงินลงทุนตามวิธีราคาทุนตัดจำหน่าย หมายถึง เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย ตามที่กำหนดในมาตรฐานการรายงานทางการเงินที่เกี่ยวข้อง"
